,date,name,tweet
105,2014-12-03,중소벤처기업부,"[12월 03일] 점심먹고 땡! 하루 한 개 중기청 이벤트!  우수 중소기업 제품이 2014 MAMA에 간다는 이 소식을 리트윗 해 널리 소문내 봅시다!  추첨을 통해 5분께 달콤한 ""초콜릿"" 보내드릴게요;-)  http://t.co/rgOVDP8n3r"
106,2014-12-03,중소벤처기업부,"@intelligenzz 확인했습니다:) 이벤트 참여해주셔서 감사드리며, 오늘도 즐거운 하루 되세요!"
107,2014-12-03,중소벤처기업부,"신용불량자라는 주홍글씨 앞에서 세상을 버리려 했던 그. 이젠 찬바람 맞아가며 일하는 이곳이 그에게는 천국입니다. #실패에서 #성공으로 일어설 수 있었던 그의 사연, 확인 하세요 &gt;&gt;&gt;  http://t.co/KZXL7rHfZ5"
108,2014-12-02,중소벤처기업부,동영상에 메시지 추가  http://t.co/eUrFOFXOAy
109,2014-12-02,중소벤처기업부,"[12월 02일] 중소기업창업 지원법 개편 기념 ""도서 이벤트"" #당첨자발표 @intelligenzz,@as2006a님! DM으로 (이름/전화번호/받으실 주소)를 보내주세요^^ 신청하신 도서를 보내드립니다!  http://t.co/K0mWWCnQsM"
110,2014-12-02,중소벤처기업부,#훈훈한_그가_벤처창업_훈풍을_만나다! #그가_만난_훈풍_페이스북에서_확인!  http://t.co/3O6t1Su1gq  http://t.co/2yROdpvJZ4
111,2014-12-02,중소벤처기업부,@JungWonKyu 가끔은 단순해지는 것이 필요한듯 하여 이렇게 출제했다며 #출제의도를_포장_해봅니다 ;-)
112,2014-12-02,중소벤처기업부,"@JungWonKyu  사실은 뒤의 숫자들은 훼이크였을뿐.. 앞에서 1=5 라고 이야기하여, 5=1인 아주 단순한 문제였어요~ 그런데 이런 체계적인 분석결과를..ㅠ_ㅠ 간단한 문제를 낸 트윗지기가 부끄러워는 순간이네요^^;;"
113,2014-12-02,중소벤처기업부,"[12월 02일] 중소기업창업 지원법 개편 기념 ""도서 이벤트"" 창업 서적 계의 허니버터칩과 같은 요 책들 중 원하는 도서를 답글로 남겨주세요! 리트윗하면 당첨 확률은 UP!  http://t.co/kFOyavxJM9"
114,2014-12-02,중소벤처기업부,"숙박용 펜션, 음식점등 서비스업종의 창업! 내일 부터는 창업 지원을 받을 수 있게 되었습니다! 지원은 더- 넓히고, 규제는 더- 완화하고! 새롭게 바뀐 중소기업창업 지원법~! 밑줄 쫙! 치러 갑시다!  http://t.co/aQqqIDsFHE"
